InternalProjectID,AverageForecast,AverageCount,Yforecast,Ycount1,ForecastMethod,AbsPE,PercentError,UnifiedImprovementType
5,19300,16800,1997,2009,1,12.9533679,-12.9533679,6
8,9700,9112,1992,1998,1,6.0618557,-6.0618557,6
9,31000,32405,1998,2010,4,4.5322581,4.5322581,6
11,15900,15600,1998,2007,1,1.8867925,-1.8867925,6
14,45900,55526,1990,2005,6,20.9716776,20.9716776,6
15,67300,68726,1990,2002,6,2.1188707,2.1188707,6
18,4300,7584,1993,1998,6,76.372093,76.372093,6
22,7500,8300,1990,2001,6,10.6666667,10.6666667,6
23,9800,21932,1987,2000,6,123.7959184,123.7959184,6
25,17500,14200,1961,1971,6,18.8571429,-18.8571429,6
30,21100,22319,1963,1979,5,5.7772512,5.7772512,6
31,30600,29547,1963,1979,5,3.4411765,-3.4411765,6
32,45000,44600,,1970,6,0.8888889,-0.8888889,6
33,11000,15100,,1994,6,37.2727273,37.2727273,6
34,10000,18200,,1994,6,82,82,6
35,2700,4200,,1978,6,55.5555556,55.5555556,6
36,17000,20000,,1985,6,17.6470588,17.6470588,6
37,20000,11500,,1985,6,42.5,-42.5,6
38,7750,7500,,1994,6,3.2258065,-3.2258065,6
39,12500,12800,1981,1984,6,2.4,2.4,6
40,5400,6306,1981,1983,6,16.7777778,16.7777778,6
41,11100,14600,1984,1993,6,31.5315315,31.5315315,6
42,2300,3660,1984,2001,6,59.1304348,59.1304348,6
43,7000,6200,1981,1987,6,11.4285714,-11.4285714,6
44,1300,2700,1984,1988,6,107.6923077,107.6923077,6
45,11200,15395,1981,1998,6,37.4553571,37.4553571,6
46,10000,14731,1981,1994,6,47.31,47.31,6
47,30000,48861,1981,1993,6,62.87,62.87,6
48,3500,4350,1981,1986,6,24.2857143,24.2857143,6
49,5400,3900,1981,1987,6,27.7777778,-27.7777778,6
50,6000,8000,1981,1985,6,33.3333333,33.3333333,6
51,2000,2100,1981,1984,6,5,5,6
52,2000,3310,1981,1984,6,65.5,65.5,6
53,4000,3400,1981,1986,6,15,-15,6
54,20000,24600,1981,1988,6,23,23,6
55,8000,12200,1984,1997,6,52.5,52.5,6
56,3000,3800,1981,1984,6,26.6666667,26.6666667,6
57,3000,4100,1981,1994,6,36.6666667,36.6666667,6
58,11500,16000,1981,1989,6,39.1304348,39.1304348,6
59,12000,14350,1981,1990,6,19.5833333,19.5833333,6
60,4300,8200,1984,1988,6,90.6976744,90.6976744,6
61,1000,1700,1984,1988,6,70,70,6
62,5500,8600,1984,1990,6,56.3636364,56.3636364,6
63,6500,6900,1984,1990,6,6.1538462,6.1538462,6
64,4100,4400,1981,1985,6,7.3170732,7.3170732,6
65,480,728,2001,2010,6,51.6666667,51.6666667,6
66,8800,8322,1997,2008,6,5.4318182,-5.4318182,6
67,19000,19410,,2011,6,2.1578947,2.1578947,6
68,14600,13708,,2010,6,6.109589,-6.109589,6
69,13700,13412,,2011,6,2.1021898,-2.1021898,6
70,11100,12000,,2011,6,8.1081081,8.1081081,6
71,35000,26700,2004,2011,6,23.7142857,-23.7142857,6
72,10130,10901,1998,2011,6,7.6110563,7.6110563,6
73,1355,1486,1994,2008,6,9.6678967,9.6678967,6
74,46800,49500,1994,2011,6,5.7692308,5.7692308,6
75,755,2500,1994,2010,6,231.1258278,231.1258278,6
76,4200,3986,1994,2000,6,5.0952381,-5.0952381,6
77,88900,67000,1998,2010,6,24.6344207,-24.6344207,6
78,5700,5023,1998,2010,6,11.877193,-11.877193,6
79,11400,12752,2004,2010,6,11.8596491,11.8596491,6
80,22000,32500,,2011,6,47.7272727,47.7272727,6
81,16000,17200,,2011,6,7.5,7.5,6
82,11000,12000,,2011,6,9.0909091,9.0909091,6
83,20700,19466,,2011,6,5.9613527,-5.9613527,6
84,4150,3881,,2011,6,6.4819277,-6.4819277,6
85,2000,6470,1993,2011,6,223.5,223.5,6
86,900,1000,2000,2011,6,11.1111111,11.1111111,6
87,100,100,,2011,6,0,0,6
88,82700,67030,1999,2008,6,18.9480048,-18.9480048,6
89,46000,37620,2002,2008,6,18.2173913,-18.2173913,6
91,13280,9200,2007,2006,6,30.7228916,-30.7228916,6
92,15500,14900,2003,2009,6,3.8709677,-3.8709677,6
93,86000,103900,1995,2006,6,20.8139535,20.8139535,6
95,24930,23980,1999,2009,6,3.8106699,-3.8106699,6
96,5634,5320,2003,2010,6,5.5733049,-5.5733049,6
97,16216,15180,2003,2010,6,6.3887519,-6.3887519,6
98,15500,14840,2003,2009,6,4.2580645,-4.2580645,6
99,38295,43910,2002,2010,6,14.6624886,14.6624886,6
100,6984,6520,2003,2008,6,6.6437572,-6.6437572,6
107,21500,20850,2002,2005,6,3.0232558,-3.0232558,6
112,27700,19750,1999,2005,6,28.700361,-28.700361,6
117,,,1991,,6,27.2727273,-27.2727273,6
125,7300,11700,1990,2004,6,60.2739726,60.2739726,6
136,18200,28200,1991,2004,6,54.9450549,54.9450549,6
152,175866,156091,1992,2007,6,11.2443565,-11.2443565,6
158,,,,,6,13,13,6
164,154100,149700,2001,2006,6,2.8552888,-2.8552888,6
174,254538,242055,2001,2006,6,4.9041793,-4.9041793,6
179,16000,19500,1994,2004,6,21.875,21.875,6
184,25000,23500,1991,2005,6,6,-6,6
199,74600,81200,2004,2007,6,8.847185,8.847185,6
206,,,,2007,6,100,100,6
215,40850,40400,1998,2006,6,1.1015912,-1.1015912,6
221,32250,27600,1991,2003,6,14.4186047,-14.4186047,6
225,47708,53900,2004,2008,6,12.9789553,12.9789553,6
238,109000,109900,1994,2005,6,0.8256881,0.8256881,6
247,59658,88197,1992,1999,6,47.8376747,47.8376747,6
252,28400,20400,1995,2009,6,28.1690141,-28.1690141,6
260,50691,69309,,2008,6,36.7284133,36.7284133,6
264,34992,52613,1998,2004,6,50.3572245,50.3572245,6
271,24880,32550,2002,2007,6,30.8279743,30.8279743,6
284,101390,85902,1998,2006,6,15.2756682,-15.2756682,6
292,30400,32400,,2009,6,6.5789474,6.5789474,6
299,30400,31700,2003,2009,6,4.2763158,4.2763158,6
304,27500,26500,1997,2007,6,3.6363636,-3.6363636,6
315,105938,105354,1999,2008,6,0.5512658,-0.5512658,6
321,1600,2206,2002,2007,6,37.875,37.875,6
331,24600,33600,2000,2008,6,36.5853659,36.5853659,6
347,159120,114115,,2008,6,28.2836853,-28.2836853,6
353,70800,60200,,2005,6,14.9717514,-14.9717514,6
357,57100,62900,1993,2004,6,10.1576182,10.1576182,6
360,146158,130932,1994,2008,6,10.4174934,-10.4174934,6
362,50600,43600,2004,2006,6,13.8339921,-13.8339921,6
366,151744,143361,,2007,6,5.5244359,-5.5244359,6
381,703950,554300,2003,2011,6,21.2586121,-21.2586121,6
392,717000,727650,1996,2006,6,1.4853556,1.4853556,6
409,256500,278100,2004,2008,6,8.4210526,8.4210526,6
413,298000,254000,1997,2007,6,14.7651007,-14.7651007,6
